Data/Hora;Aluno;Tempo Total (s);Sequencia;Ponto Detectado;Tempo do Evento (s)
2025-11-05 15:59:59;joao;7,95;-;Nenhum;-
2025-11-05 16:00:11;joao;4,03;-;Nenhum;-
